set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
1,24,5.75,1.82,0.343,-0.172,-2.56464,2.21195,1.39564,0.0315875,-1.61311,4.50815,3.37094,3.41771,22.1057,0.013873,-0.131244,7.36631,7.36631,0.0244115,0.033393,0.033393,-2.8956,0.317311,3.41007,3.02374,2.9572,0.786992,0.0320905,0.00181771,0.773269,4.56655,2.05781,0.00441928
2,24,5.75,1.933,0.368,-0.232,-2.48378,2.05692,1.17942,0.0227145,-2.05429,6.49114,4.69968,0.0238723,0.0368902,20.5324,0.0642553,6.28207,6.28207,0.017427,0.0291296,0.0291296,-2.77019,0.29143,1.3375,2.63318,1.56292,0.725085,0.0208365,0.00131704,1.2173,3.76897,2.55883,0.00560382
3,24,5.75,1.964,0.375,-0.278,-2.44312,1.94885,1.04808,0.0196876,-2.2477,1.95815,1.95815,-1.27374,11.8355,11.8355,-4.13102,0.0108786,3.28641,0.00894489,0.00284555,0.00620667,-2.96729,0.301922,1.14869,2.45672,1.12443,0.712409,0.0185817,0.000973066,1.16587,3.64111,1.93017,0.00449452
4,24,5.75,1.986,0.379,-0.323,-2.40288,1.85115,0.934471,0.0174894,-2.24055,2.11595,2.76857,10.7924,15.7624,0.314552,-3.73788,8.37696e-08,3.97718,0.0118334,0.00649193,0.00889344,-2.68067,0.202065,-0.12473,2.15104,1.25234,0.612054,0.0157435,0.000730621,0.855508,5.20101,2.75917,0.00382822
5,24,5.75,1.999,0.381,-0.371,-2.35994,1.75483,0.82686,0.0157662,-1.90171,3.89908,3.89908,-1.14019,11.6227,11.6227,0.394351,0.0099182,5.51849,0.0135632,0.00814935,0.00814935,-2.3452,0.367973,0.346873,2.85151,1.20187,1.00962,0.0152297,0.00114423,0.867446,3.24661,1.21595,0.00231368
6,24,5.75,2.218,0.345,-0.176,-2.55945,2.20108,1.3792,0.016768,-1.51601,3.42037,3.39926,3.69675,12.6498,12.6498,-0.0992305,2.60823e-05,5.41606,0.0133397,0.0190316,0.0190316,-2.93561,0.411144,3.51748,3.87538,3.09152,0.961862,0.0185233,0.00155228,1.25844,2.19472,2.94639,0.00452009
7,24,5.75,2.318,0.363,-0.232,-2.5008,2.05692,1.18094,0.0128379,-1.87134,2.03163,2.03163,-0.28928,12.4106,12.4106,-0.101622,7.63587e-05,5.58602,0.0107715,0.00575406,0.00575406,-2.97882,0.308801,1.92657,2.94332,1.92798,0.764842,0.0141267,0.000948273,0.974039,1.84228,2.00505,0.00283192
8,24,5.75,2.348,0.368,-0.279,-2.46665,1.94659,1.04462,0.0111995,-2.4547,3.10571,1.97966,-2.53198,10.9787,10.9787,-0.209223,8.87372e-07,4.86323,0.00850916,0.00423224,0.00423224,-3.46405,0.278652,0.381411,2.31407,1.28119,0.634818,0.0111124,0.000664483,0.343818,3.29676,1.68148,0.00109348
9,24,5.75,2.36,0.371,-0.325,-2.42877,1.84698,0.927706,0.010102,-2.27618,6.50541,3.65297,-7.38793,5.50669e-06,18.4698,1.09041,4.80123,4.47583,0.00825291,0.0126727,0.0126727,-3.3164,0.223584,-0.32753,1.5967,1.08996,0.478018,0.00987225,0.000491719,1.04342,3.76508,1.50999,0.00195247
10,24,5.75,2.375,0.373,-0.372,-2.38607,1.7529,0.821841,0.00910937,-2.21289,3.16426,3.16426,-2.07415,4.93747,12.5916,-3.28737,1.73224e-07,6.92305,0.00707331,0.00468781,0.00468781,-2.70275,0.205444,-0.567723,1.7231,1.32901,0.502498,0.00814275,0.000442954,1.18777,2.9801,2.02197,0.00230977
11,24,5.75,2.012,0.378,-0.192,-2.4544,2.15838,1.30188,0.0217681,-1.97253,3.42375,3.42375,5.43695,14.0705,7.51336,7.7058,12.9133,0.105499,0.0192095,0.0148888,0.0148888,-2.61855,0.476794,2.96213,4.34244,2.4155,1.10189,0.022391,0.00198719,1.07398,3.40145,2.22702,0.00465869
12,24,5.75,2.054,0.392,-0.233,-2.40374,2.05448,1.16918,0.0186438,-1.54524,4.79088,4.52616,3.97732,11.468,11.468,-0.0754355,7.91781,7.91781,0.0154656,0.0221778,0.0221778,-2.16777,0.384179,2.37356,3.33473,1.63352,0.932182,0.0175354,0.0013802,1.33523,4.89262,2.36081,0.00491985
13,24,5.75,2.074,0.398,-0.279,-2.36569,1.94659,1.04328,0.0165452,-1.90112,2.6979,2.6979,9.64632,17.4327,2.03324,0.709946,4.88305,5.54971,0.0136599,0.00827102,0.00827102,-2.59757,0.351078,1.5016,4.03324,0.973781,0.848354,0.0160218,0.00106044,1.10463,4.46845,1.26785,0.00362793
14,24,5.75,2.084,0.4,-0.324,-2.33213,1.84907,0.934829,0.0150419,-1.86537,3.47587,3.47587,-1.99593,5.40034,13.0903,-3.73931,2.31794e-06,9.08981,0.012655,0.00856717,0.00856717,-2.62256,0.329583,1.0176,2.1894,1.15207,0.745916,0.0148724,0.00085002,0.747682,3.65836,1.62312,0.00221799
15,24,5.75,2.091,0.401,-0.371,-2.29399,1.75483,0.833607,0.013758,-2.35732,3.42481,3.27294,-1.72914,14.8983,14.8983,-2.66498,0.0269441,7.93352,0.0124046,0.00910743,0.00910743,-2.551,0.25677,0.493684,2.04378,1.29341,0.635579,0.0143511,0.000572346,0.99345,3.13979,2.20841,0.00258884
16,24,5.75,2.161,0.336,-0.171,-2.58762,2.21468,1.40487,0.0184424,-1.46334,4.16523,3.42743,3.23737,17.0865,17.0865,0.0179044,2.51384e-07,8.00815,0.0145311,1.16743e-05,0.0223805,-3.24538,0.321179,2.95931,3.84019,4.12955,0.82167,0.0216985,0.00133933,1.54449,4.42804,3.39931,0.00629821
17,24,5.75,2.19,0.342,-0.231,-2.57418,2.05937,1.19056,0.015339,-2.01032,2.17091,2.18492,-2.42275,16.094,16.094,-4.75758,1.6066e-06,4.60559,0.00851371,0.00514945,0.0096331,-3.74846,0.313335,1.41684,3.13372,1.67532,0.75079,0.0154489,0.00101997,0.879933,3.33422,2.15296,0.0031878
18,20,5.75,2.194,0.343,-0.278,-2.55545,1.94885,1.04804,0.0137794,-4.20307,4.5208,1.1489,-1.27399,14.5348,14.5348,0.645857,0.00768704,6.33542,0.00942594,0.000928132,0.0116541,-3.72355,0.666624,-1.32847,3.9718,1.31779,1.47571,0.0114879,0.00228794,0.948584,3.387,1.74383,0.00147938
19,20,5.75,2.191,0.342,-0.324,-2.53187,1.84907,0.924297,0.0126023,-2.0181,6.27984,0.930636,-6.85659,0.539683,17.951,0.888918,6.90727,6.90727,0.00945612,0.00886129,0.00886129,-2.45902,0.298321,0.651948,3.26368,1.52977,0.764709,0.0139374,0.00075249,1.30111,6.17402,1.45065,0.00356208
20,20,5.75,2.193,0.342,-0.371,-2.49474,1.75483,0.811791,0.0114911,-4.32618,6.21003,4.46206,-0.543281,6.47604,11.0723,2.06598,5.31315,2.80476,0.00828803,0.00775466,0.00919689,-0.431453,0.473222,2.14464,2.3191,1.48533,0.717084,0.0129719,0.000923657,1.06607,3.31819,1.47128,0.00218526
21,24,7.383,3.17,0.363,-0.21085,-2.50349,2.10966,1.24778,0.00540761,-0.823331,2.73898,2.73898,-7.26936,1.16928,19.9273,0.128503,8.63513,8.63513,0.0068804,0.00342785,0.00342785,-1.66482,0.538981,2.6576,3.96588,1.71091,1.15161,0.00791451,0.000654,1.30817,3.98903,2.39768,0.00164321
22,24,7.383,3.17,0.363,-0.29665,-2.47458,1.90744,0.997661,0.00451394,-0.566068,2.27819,2.27819,0.257964,12.5919,12.5919,0.206597,1.93293e-07,5.48939,0.00508061,0.00209579,0.00209579,-1.29685,0.309535,2.37369,2.24443,1.25688,0.674219,0.00582872,0.000294303,0.515626,2.37044,1.79389,0.000630675
23,24,7.383,3.18,0.365,-0.38488,-2.4023,1.72838,0.791362,0.00379441,-1.15356,2.33122,2.33122,-1.61705,9.47528,9.47528,-0.0289108,3.11757,3.11757,0.00411297,0.00149629,0.00149629,-2.05709,0.265322,1.17128,2.05972,1.13898,0.580675,0.00484858,0.000191888,0.450462,3.70618,1.15472,0.000367558
24,24,7.383,3.18,0.365,-0.47088,-2.31939,1.57705,0.627882,0.00327998,-2.72773,0.696387,3.12439,9.46229,15.7705,6.5139e-12,-2.51153,2.70369e-07,1.30794,0.00322219,0.00122772,0.000648325,-2.17401,0.279244,-1.32666,1.35621,1.65889,0.425525,0.00409583,0.000151548,0.833617,3.21434,0.569433,0.000424678
25,24,7.383,3.18,0.364,-0.58578,-2.19712,1.40402,0.453107,0.00274374,-2.21682,3.29813,0.815245,-5.61551,0.000584987,14.0396,2.71057,1.57636,0.00807003,0.00341869,0.000965051,0.000757309,-2.47817,0.390142,0.100036,1.0659,0.02688,0.326954,0.00293245,0.000128817,0.999253,3.35818,0.751178,0.000348173
26,24,8.521,3.65,0.367,-0.20459,-2.4905,2.12566,1.26632,0.0036678,-1.7106,2.73582,2.73582,2.27688,11.592,11.592,-0.46284,0.0400761,10.2678,0.00295675,0.00228722,0.00228722,-2.9553,0.417105,2.24927,3.61314,2.01973,0.927021,0.00392948,0.000317916,1.20349,3.34255,1.93363,0.000997756
27,24,8.521,3.65,0.367,-0.26579,-2.47617,1.97669,1.08222,0.00321457,-1.73836,2.28444,2.28444,-0.837935,11.35,11.35,-0.110627,4.08462,4.08462,0.00183152,0.00152196,0.00152196,-2.97006,0.240187,1.94244,2.08534,1.78407,0.534621,0.0027099,0.000183358,0.88605,3.16034,1.45289,0.000614959
