set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
1,16,5.75,1.11,0.126,-0.11,-3.20664,2.39131,2.16321,0.17871,12.078,10.6613,0.74861,13.4702,23.0355,0.877644,12.9327,21.5856,0.0465677,1.52495,0.802558,0.123299,5.04772,0.560943,1.92064,6.38347,-1.33267,1.95868,0.706672,0.0275241,2.27936,9.86058,9.60967,0.133354
2,16,5.75,1.11,0.126,-0.15,-3.40355,2.27322,1.82235,0.146784,13.614,9.0425,0.000159376,13.6393,22.7321,2.40764e-06,9.21356,16.503,1.72053,0.479942,0.493971,0.493971,6.67052,0.269522,-4.18805,3.41716,0.624527,0.998731,0.589834,0.0004075,7.97839,3.70944,1.76341,0.411678
3,16,5.75,1.11,0.126,-0.2,-3.5379,2.1375,1.47343,0.117436,-9.32628,1.09133,10.7601,12.8219,21.3719,0.00311388,8.05485,13.9486,0.785703,0.00123737,2.44288e-07,0.234362,3.78811,5.64466,2.22661,6.16103,1.53852,4.21297,0.421325,0.236591,8.50638,4.45452,2.643,0.363045
4,18,5.75,1.11,0.126,-0.26,-3.58866,1.9901,1.13175,0.0923622,-3.59302,5.58848,11.7391,11.9402,19.9006,0.000428556,6.22689,10.7539,0.563603,0.155959,0.154164,0.230234,-1.42723,0.34003,2.63645,3.80428,1.7085,0.380658,0.145705,8.19782e-05,0.259709,5.06573,3.4391,0.0529194
5,18,5.75,1.11,0.126,-0.34,-3.53706,1.81615,0.778808,0.0695545,-1.85487,5.74776,6.94243,10.8969,16.6861,16.6861,-3.07882,0.0364073,7.75167,0.125808,0.106172,0.111528,-1.11689,0.405328,2.31654,2.45676,0.742452,0.942506,0.138208,0.00881249,0.868043,2.83278,1.23455,0.00670236
6,19,5.75,1.11,0.126,-0.45,-3.34977,1.61191,0.434499,0.0496568,-2.40113,4.80351,2.84833,-3.97799,2.46964,13.6494,-1.73799,1.11674e-07,4.34499,0.0385487,0.032391,0.048694,-2.80414,0,3.86703,0,0.193773,0,0.0626309,0,0.805501,4.89683,0.752417,0.00451414
7,20,5.75,1.27,0.154,-0.11,-3.11809,2.39131,2.04195,0.115446,-6.66306,4.48184,6.95568,-6.70589,2.85936,21.0538,12.0049,20.1727,0.246801,0.0903226,0.0900324,0.149774,1.04542,5.88759,2.39766,6.89781,2.36249,5.7657,0.294496,0.22947,2.24089,3.54804,2.90576,0.137521
8,18,5.75,1.27,0.154,-0.15,-3.27525,2.27322,1.74791,0.0965519,3.88991,8.24477,6.88886,13.6392,3.26579,19.4664,1.21002,13.2903,13.2903,0.275595,0.225863,0.230217,4.96676,0.476396,3.36854,5.644,-2.62002,1.69334,0.235455,0.000262438,0.917014,2.791,5.38564,0.0484583
9,18,5.75,1.27,0.154,-0.2,-3.38187,2.1375,1.4344,0.0789333,-4.57251,3.62183,11.9067,12.8006,21.3507,0.0243587,-5.73759,2.65113e-05,14.344,0.00248299,0.00177198,0.251843,4.48462,5.2622,2.27655,6.15423,1.63216,4.08906,0.264934,0.134309,3.33963,2.95616,1.5957,0.0774546
10,18,5.75,1.27,0.154,-0.26,-3.41728,1.9901,1.12378,0.0635864,0.301734,14.0371,7.77659,-5.0064,2.954,16.947,2.43996,6.9351,4.30274,0.201603,0.163071,0.163071,2.37623,0.915509,1.41509,6.19365,1.19054,3.03977,0.174398,0.000269794,2.3806,4.67491,1.31197,0.0381783
11,18,5.75,1.27,0.154,-0.34,-3.36613,1.81615,0.797875,0.049279,-7.49536,1.33767,6.55922,7.82283,15.0874,3.07409,4.15876,7.35027,0.628488,0.00208526,0.000403902,0.0408441,1.28646,5.91373,1.75005,5.2168,0.767894,2.28302,0.0955201,0.0857053,2.23292,2.93686,1.20263,0.0276929
12,20,5.75,1.27,0.154,-0.45,-3.19645,1.61191,0.472648,0.036371,-5.89853,2.28983,4.97668,3.94002,10.3877,5.73143,2.83545,4.72605,0.000432614,0.00949643,0.00761002,0.0297857,0.149155,0.402795,4.41071,1.6343,-0.210049,0.657989,0.063592,0.0035549,0.0906722,2.95645,1.24295,0.00099951
13,16,5.75,1.39,0.155,-0.11,-3.11477,2.39131,2.0385,0.0864557,-3.95309,7.7814,13.8552,10.287,19.8522,4.06093,7.79667,15.9507,4.43431,0.201217,0.200885,0.431968,-3.38355,0.252207,5.58996,5.28246,1.71511,0.659623,0.130818,1.82026e-05,1.23967,6.32378,2.7043,0.0448037
14,16,5.75,1.39,0.155,-0.15,-3.27137,2.27322,1.74559,0.0723391,3.65641,10.8319,10.8319,3.946,13.0389,9.6933,10.4728,17.4552,0.000728631,0.323595,0.326916,0.326916,0.281899,0.888969,2.5955,6.30276,1.48579,4.19754,0.194674,0.0467325,4.95497,3.29339,2.22677,0.163627
15,16,5.75,1.39,0.155,-0.2,-3.37647,2.1375,1.4332,0.0591641,4.50448,26.2668,26.2668,11.2783,19.8283,1.54673,6.26539,11.9982,2.33379,0.000935865,0.00057071,0.383113,4.68219,5.39228,2.30683,6.16083,1.63843,4.09148,0.260154,0.134057,5.78432,4.32028,1.00008,0.134427
16,16,5.75,1.39,0.155,-0.26,-3.41144,1.9901,1.12356,0.0476838,-0.421885,11.057,9.13084,11.9404,19.9008,0.000218177,-2.72958,1.76467,9.47096,0.19113,0.180673,0.180673,4.01951,0.981584,1.87155,5.30131,0.939705,2.66643,0.163209,7.20169e-05,4.86391,2.76292,1.93053,0.0856819
17,18,5.75,1.39,0.155,-0.34,-3.36032,1.81615,0.799058,0.0369725,-4.65628,5.43624,9.08093,7.60428,14.8689,3.29264,4.75805,7.99058,7.59478e-07,0.0641422,0.0506079,0.0930324,-2.29231,0.395333,2.62173,3.01388,0.401999,1.21961,0.0652777,0.00680707,0.887678,3.3693,1.46145,0.019929
18,18,5.75,1.39,0.155,-0.45,-3.19123,1.61191,0.473923,0.0272995,-3.58135,5.31235,3.97416,-5.93935,0.508281,15.6108,2.84323,4.73892,0.00031274,0.0216086,0.0192274,0.0335706,-1.66424,0.404641,3.29454,1.36636,0.146043,0.687758,0.0484402,0.00449935,1.53839,1.07466,0.414102,0.0146754
